sample	title	series
GSM2411348	Bulk_RNA-Seq_NSCLC_12_NTIL	GSE90728-GSE90730
GSM2411349	Bulk_RNA-Seq_NSCLC_17_NTIL	GSE90728-GSE90730
GSM2411350	Bulk_RNA-Seq_NSCLC_43_NTIL	GSE90728-GSE90730
GSM2411351	Bulk_RNA-Seq_NSCLC_11_NTIL	GSE90728-GSE90730
GSM2411352	Bulk_RNA-Seq_NSCLC_22_NTIL	GSE90728-GSE90730
GSM2411353	Bulk_RNA-Seq_NSCLC_25_NTIL	GSE90728-GSE90730
GSM2411354	Bulk_RNA-Seq_NSCLC_15_TIL	GSE90728-GSE90730
GSM2411355	Bulk_RNA-Seq_NSCLC_20_TIL	GSE90728-GSE90730
GSM2411356	Bulk_RNA-Seq_NSCLC_06_TIL	GSE90728-GSE90730
GSM2411357	Bulk_RNA-Seq_NSCLC_04_TIL	GSE90728-GSE90730
GSM2411358	Bulk_RNA-Seq_NSCLC_30_TIL	GSE90728-GSE90730
GSM2411359	Bulk_RNA-Seq_NSCLC_21_TIL	GSE90728-GSE90730
GSM2411360	Bulk_RNA-Seq_NSCLC_18_TIL	GSE90728-GSE90730
GSM2411361	Bulk_RNA-Seq_NSCLC_35_TIL	GSE90728-GSE90730
GSM2411362	Bulk_RNA-Seq_NSCLC_24_TIL	GSE90728-GSE90730
GSM2411363	Bulk_RNA-Seq_NSCLC_13_TIL	GSE90728-GSE90730
GSM2411364	Bulk_RNA-Seq_NSCLC_33_TIL	GSE90728-GSE90730
GSM2411365	Bulk_RNA-Seq_NSCLC_26_TIL	GSE90728-GSE90730
GSM2411366	Bulk_RNA-Seq_NSCLC_09_TIL	GSE90728-GSE90730
GSM2411367	Bulk_RNA-Seq_NSCLC_27_TIL	GSE90728-GSE90730
GSM2411368	Bulk_RNA-Seq_NSCLC_07_TIL	GSE90728-GSE90730
GSM2411369	Bulk_RNA-Seq_NSCLC_32_TIL	GSE90728-GSE90730
GSM2411370	Bulk_RNA-Seq_NSCLC_28_TIL	GSE90728-GSE90730
GSM2411371	Bulk_RNA-Seq_NSCLC_03_TIL	GSE90728-GSE90730
GSM2411372	Bulk_RNA-Seq_NSCLC_19_TIL	GSE90728-GSE90730
GSM2411373	Bulk_RNA-Seq_NSCLC_17_TIL	GSE90728-GSE90730
GSM2411374	Bulk_RNA-Seq_NSCLC_16_TIL	GSE90728-GSE90730
GSM2453422	polyA mRNA RNA-seq from lung (ENCLB955EVV)	GSE93482
GSM2492504	BD005	GSE94964
GSM2492505	BD006	GSE94964
GSM2492506	BD007	GSE94964
GSM2492507	BD008	GSE94964
GSM2492512	BD013	GSE94964
GSM2492513	BD014	GSE94964
GSM2492514	BD015	GSE94964
GSM2492515	BD016	GSE94964
GSM2492520	BD021	GSE94964
GSM2492521	BD022	GSE94964
GSM2492522	BD023	GSE94964
GSM2492523	BD024	GSE94964
GSM2537121	21 wk fetal+DCI_A	GSE96642
GSM2537122	21 wk fetal+DCI_B	GSE96642
GSM2537123	21 wk fetal+DCI_C	GSE96642
GSM2537127	Adult AEC2_A	GSE96642
GSM2537128	Adult AEC2_B	GSE96642
GSM2537129	Adult AEC2_C	GSE96642
GSM2537133	21 wk fetal_B	GSE96642
GSM2537134	21 wk fetal_C	GSE96642
GSM2537135	21 wk fetal_D	GSE96642
GSM2644286	MRC-5 mock rep2 24hpi	GSE99454
GSM2644287	MRC-5 TB40epi rep1 24hpi	GSE99454
GSM2644288	MRC-5 TB40epi rep2 24hpi	GSE99454
GSM2644289	MRC-5 mock rep1 24hpi	GSE99454
GSM2644294	MRC-5 mock rep2 72hpi	GSE99454
GSM2644295	MRC-5 TB40epi rep1 72hpi	GSE99454
GSM2644296	MRC-5 TB40epi rep2 72hpi	GSE99454
GSM2644297	MRC-5 mock rep1 72hpi	GSE99454
GSM2644301	MRC-5 mock rep1 120hpi	GSE99454
GSM2644302	MRC-5 mock rep2 120hpi	GSE99454
GSM2644303	MRC-5 TB40epi rep1 120hpi	GSE99454
GSM2644304	MRC-5 TB40epi rep2 120hpi	GSE99454
GSM2714484	H358-ctrl-D3 rep 1	GSE101754
GSM2714485	H358-ctrl-D3 rep 2	GSE101754
GSM2714486	H358-ctrl-D3 rep 3	GSE101754
GSM2714487	H358-ctrl+D3 rep 1	GSE101754
GSM2714488	H358-ctrl+D3 rep 2	GSE101754
GSM2714489	H358-ctrl+D3 rep 3	GSE101754
GSM2714490	H358-sh3-D3 rep 1	GSE101754
GSM2714491	H358-sh3-D3 rep 2	GSE101754
GSM2714492	H358-sh3-D3 rep 3	GSE101754
GSM2714493	H358-sh3+D3 rep 1	GSE101754
GSM2714494	H358-sh3+D3 rep 2	GSE101754
GSM2714495	H358-sh3+D3 rep 3	GSE101754
GSM2714496	H358-sh3-D5 rep 1	GSE101754
GSM2714497	H358-sh3-D5 rep 2	GSE101754
GSM2714498	H358-sh3-D5 rep 3	GSE101754
GSM2714499	H358-sh3+D5 rep 1	GSE101754
GSM2714500	H358-sh3+D5 rep 2	GSE101754
GSM2714501	H358-sh3+D5 rep 3	GSE101754
GSM2742113	4422_1_A549_untreated_R1	GSE102639
GSM2742114	4422_2_A549_untreated_R2	GSE102639
GSM2742115	4422_3_A549_VX680_R1	GSE102639
GSM2742116	4422_4_A549_VX680_R2	GSE102639
GSM2742117	4422_5_A549_AZD1132_R1	GSE102639
GSM2742118	4422_6_A549_AZD1132_R2	GSE102639
GSM2742119	4422_7_A549_MLN8237_R1	GSE102639
GSM2742120	4422_8_A549_MLN8237_R2	GSE102639
GSM2742121	4422_9_A549_Etoposide_R1	GSE102639
GSM2742122	4422_10_A549_Etoposide_R2	GSE102639
GSM2888370	Uninfected cells	GSE108041
GSM2745957	H522	GSE102744
GSM2745958	H661	GSE102744
GSM2745964	H146	GSE102744
GSM1915019	143B_lung_culture_24hrs: RNA Seq	GSE74230
GSM1915020	143B_lung_culture_day_5_DMSO: RNA Seq	GSE74230
GSM1915021	143B_lung_culture_day_5_250nM_JQ1: RNA Seq	GSE74230
GSM1915022	143B_lung_culture_day_14: RNA Seq	GSE74230
GSM1915023	HOS_lung_culture_24hrs: RNA Seq	GSE74230
GSM1915026	MNNG_lung_culture_24hrs: RNA Seq	GSE74230
GSM1915027	MNNG_lung_culture_day_14: RNA Seq	GSE74230
GSM1915028	MNNG_lung_culture_day_7_DMSO: RNA Seq	GSE74230
GSM1915029	MNNG_lung_culture_day_7_250nM_JQ1: RNA Seq	GSE74230
GSM1915030	MG63_3_lung_culture_24hrs: RNA Seq	GSE74230
GSM1915031	MG63_3_lung_culture_day_14: RNA Seq	GSE74230
GSM1915033	MG63_lung_culture_24hrs: RNA Seq	GSE74230
GSM2299044	brush-1	GSE86247
GSM2299045	brush-2	GSE86247
GSM2299046	clone-1	GSE86247
GSM2299047	clone-2	GSE86247
GSM2550590	Human AT2 cells Pt 1	GSE97053-GSE97055
GSM2550591	Human AT2 cells Pt 2	GSE97053-GSE97055
GSM2550592	Human AT2 cells Pt 4	GSE97053-GSE97055
GSM2550593	Human AEP-depleted AT2 Pt 1	GSE97053-GSE97055
GSM2550594	Human AEP-depleted AT2 Pt 2	GSE97053-GSE97055
GSM2550595	Human AEP-depleted AT2 Pt 4	GSE97053-GSE97055
GSM2550596	Human AEP cells Pt 1	GSE97053-GSE97055
GSM2550597	Human AEP cells Pt 2	GSE97053-GSE97055
GSM2550598	Human AEP cells Pt 4	GSE97053-GSE97055
GSM2648740	HC11	GSE99621
GSM2648741	HC12	GSE99621
GSM2648742	HC21	GSE99621
GSM2648743	HC22	GSE99621
GSM2648744	HC23	GSE99621
GSM2648745	HC31	GSE99621
GSM2648746	HC32	GSE99621
GSM2648747	HC33	GSE99621
GSM2648748	IPF1n1	GSE99621
GSM2648749	IPF1n2	GSE99621
GSM2648750	IPF1n3	GSE99621
GSM2648751	IPF1n4	GSE99621
GSM2648752	IPF2n1	GSE99621
GSM2648753	IPF2n2	GSE99621
GSM2648754	IPF2n3	GSE99621
GSM2648755	IPF3n1	GSE99621
GSM2648756	IPF3n2	GSE99621
GSM2648757	IPF3n3	GSE99621
GSM2648758	IPF1s1	GSE99621
GSM2648759	IPF1s2	GSE99621
GSM2648760	IPF1s3	GSE99621
GSM2648761	IPF2s1	GSE99621
GSM2648762	IPF2s2	GSE99621
GSM2648763	IPF2s3	GSE99621
GSM2648764	IPF2s4	GSE99621
GSM2648765	IPF3s1	GSE99621
GSM1579214	Pool healthy and asthma (mRNA)	GSE64744
GSM1683317	PS041-2_R2_1_77	GSE66357
GSM1683319	PS041-2_R2_1_787	GSE66357
GSM1683329	PS041-2_R2_2_11	GSE66357
GSM1683330	PS041-2_R2_2_135	GSE66357
GSM1683337	PS041-2_R2_2_231	GSE66357
GSM1683340	PS041-2_R2_2_299	GSE66357
GSM1683346	PS041-2_R2_2_359	GSE66357
GSM1683365	PS041-2_R2_2_592	GSE66357
GSM1683367	PS041-2_R2_2_607	GSE66357
GSM1683368	PS041-2_R2_2_617	GSE66357
GSM1683378	PS041-2_R2_2_768	GSE66357
GSM1683380	PS041-2_R2_2_797	GSE66357
GSM1683396	PS041-2_R2_2_951	GSE66357
GSM1683410	PS041-2_R2_3_441	GSE66357
GSM1683411	PS041-2_R2_3_467	GSE66357
GSM1683414	PS041-2_R2_3_525	GSE66357
GSM1683424	PS041-2_R2_3_807	GSE66357
GSM1683436	PS041-2_R2_4_337	GSE66357
GSM1921464	High_Pt4_tumor	GSE74484
GSM1921465	High_Pt5_tumor	GSE74484
GSM1921466	High_Pt8_inferior	GSE74484
GSM1921467	High_Pt8_superior	GSE74484
GSM1921468	Low_Pt6_anterior	GSE74484
GSM1921469	Low_Pt6_anterior_medial	GSE74484
GSM1921470	Low_Pt1_anterior_medial	GSE74484
GSM1921471	Low_Pt1_posterior_pleural	GSE74484
GSM1921472	Low_Pt7_anterior	GSE74484
GSM1921473	Low_Pt7_posterior	GSE74484
GSM1955398	A549 - Mock transfection control	GSE75452
GSM1955399	A549 - NFE2L2-siRNA-1	GSE75452
GSM1955400	A549 - NFE2L2-siRNA-2	GSE75452
GSM1955401	A549 - NFE2L2-siRNA-3	GSE75452
GSM1955402	A549 - Ctrl siRNA-1 - rep1	GSE75452
GSM1955403	A549 - Ctrl siRNA-1 - rep2	GSE75452
GSM1955404	A549 - Ctrl siRNA-2 - rep1	GSE75452
GSM1955405	A549 - Ctrl siRNA-2 - rep2	GSE75452
GSM2067916	RNA WT Control	GSE78138-GSE78142
GSM2067917	RNA WT OIS	GSE78138-GSE78142
GSM2067918	RNA MLL1 KD Control	GSE78138-GSE78142
GSM2067919	RNA MLL1 KD OIS	GSE78138-GSE78142
GSM2125378	pCDNA-ctl	GSE80372
GSM2125379	YAP	GSE80372
GSM2125380	YAP-TEAD434	GSE80372
GSM2125381	YAP-TEAD305	GSE80372
GSM2125382	YAP-RBM4	GSE80372
GSM2257549	A549 cell RNA-seq with control siRNA	GSE85089
GSM2257550	A549 cell RNA-seq with control siRNA plus EGF stimulation	GSE85089
GSM2257551	A549 cell RNA-seq after INTS11 knockdown	GSE85089
GSM2257552	A549 cell RNA-seq after INTS11 knockdown plus EGF stimulation	GSE85089
GSM2257553	A549 cell RNA-seq with vehicle treatment	GSE85089
GSM2257554	A549 cell RNA-seq with vehicle treatment plus EGF stimulation	GSE85089
GSM2257555	A549 cell RNA-seq with ERK inhibitor treatment	GSE85089
GSM2257556	A549 cell RNA-seq with ERK inhibitor treatment plus EGF stimulation	GSE85089
GSM2257557	A549 cell RNA-seq with MEK inhibitor treatment	GSE85089
GSM2257558	A549 cell RNA-seq with MEK inhibitor treatment plus EGF stimulation	GSE85089
GSM2306940	01-H12.CC019	GSE86618
GSM2306941	01-N701-S517-A1.CC002	GSE86618
GSM2306942	01-N701-S517-B5.IPF009	GSE86618
GSM2306943	01-N701-S517-H1.IPF010	GSE86618
GSM2306944	02-B3.CC019	GSE86618
GSM2306945	02-N702-S517-A2.CC002	GSE86618
GSM2306946	02-N702-S517-C9.IPF010	GSE86618
GSM2306947	02-N702-S517-G3.IPF009	GSE86618
GSM2306948	03-E6.CC019	GSE86618
GSM2306949	03-N703-S517-A12.IPF010	GSE86618
GSM2306950	03-N703-S517-A3.CC002	GSE86618
GSM2306951	03-N703-S517-D10.IPF009	GSE86618
GSM2306952	04-A10.CC019	GSE86618
GSM2306953	04-N704-S517-A10.IPF009	GSE86618
GSM2306954	04-N704-S517-C4.CC002	GSE86618
GSM2306955	04-N704-S517-D12.IPF010	GSE86618
GSM2306956	05-B2.CC019	GSE86618
GSM2306957	05-N705-S517-D3.IPF010	GSE86618
GSM2306958	05-N705-S517-E11.IPF009	GSE86618
GSM2306959	05-N705-S517-E5.CC002	GSE86618
GSM2306960	06-D12.CC019	GSE86618
GSM2306961	06-N706-S517-B7.IPF009	GSE86618
GSM2306962	06-N706-S517-E1.IPF010	GSE86618
GSM2306963	06-N706-S517-F6.CC002	GSE86618
GSM2306964	07-B11.CC019	GSE86618
GSM2306965	07-N707-S517-E3.IPF009	GSE86618
GSM2306966	07-N707-S517-G7.CC002	GSE86618
GSM2306967	07-N707-S517-H3.IPF010	GSE86618
GSM2306968	08-D6.CC019	GSE86618
GSM2306969	08-N708-S517-H5.IPF009	GSE86618
GSM2306970	08-N708-S517-H8.CC002	GSE86618
GSM2306971	09-A9.CC019	GSE86618
GSM2306972	09-N709-S517-A10.CC002	GSE86618
GSM2306973	09-N709-S517-G2.IPF009	GSE86618
GSM2306974	10-A1.CC019	GSE86618
GSM2306975	10-N710-S517-A11.CC002	GSE86618
GSM2306976	10-N710-S517-C7.IPF009	GSE86618
GSM2306977	11-N711-S517-A12.CC002	GSE86618
GSM2306978	13-B10.CC019	GSE86618
GSM2306979	13-N701-S502-A3.IPF010	GSE86618
GSM2306980	13-N701-S502-B1.CC002	GSE86618
GSM2306981	14-E12.CC019	GSE86618
GSM2306982	14-N702-S502-B2.CC002	GSE86618
GSM2306983	14-N702-S502-C11.IPF009	GSE86618
GSM2306984	14-N702-S502-E2.IPF010	GSE86618
GSM2306985	15-H2.CC019	GSE86618
GSM2306986	15-N703-S502-C3.CC002	GSE86618
GSM2306987	15-N703-S502-E3.IPF010	GSE86618
GSM2306988	15-N703-S502-H8.IPF009	GSE86618
GSM2306989	16-G10.CC019	GSE86618
GSM2306990	16-N704-S502-C1.IPF009	GSE86618
GSM2306991	16-N704-S502-E4.CC002	GSE86618
GSM2306992	16-N704-S502-G1.IPF010	GSE86618
GSM2306993	17-G5.CC019	GSE86618
GSM2306994	17-N705-S502-B6.IPF010	GSE86618
GSM2306995	17-N705-S502-C2.IPF009	GSE86618
GSM2306996	17-N705-S502-F5.CC002	GSE86618
GSM2306997	18-G3.CC019	GSE86618
GSM2306998	18-N706-S502-A12.IPF009	GSE86618
GSM2306999	18-N706-S502-F1.IPF010	GSE86618
GSM2307000	18-N706-S502-G6.CC002	GSE86618
GSM2307001	19-G2.CC019	GSE86618
GSM2307002	19-N707-S502-B11.IPF010	GSE86618
GSM2307003	19-N707-S502-E6.IPF009	GSE86618
GSM2307004	19-N707-S502-H7.CC002	GSE86618
GSM2307005	20-D7.CC019	GSE86618
GSM2307006	20-N708-S502-A4.IPF009	GSE86618
GSM2307007	20-N708-S502-A9.CC002	GSE86618
GSM2307008	21-F11.CC019	GSE86618
GSM2307009	21-N709-S502-B10.CC002	GSE86618
GSM2307010	21-N709-S502-C4.IPF009	GSE86618
GSM2307011	22-C4.CC019	GSE86618
GSM2307012	22-N710-S502-B11.CC002	GSE86618
GSM2307013	22-N710-S502-F8.IPF009	GSE86618
GSM2307014	23-N711-S502-B12.CC002	GSE86618
GSM2307015	25-G12.CC019	GSE86618
GSM2307016	25-N701-S503-C1.CC002	GSE86618
GSM2307017	25-N701-S503-C4.IPF010	GSE86618
GSM2307018	26-A8.CC019	GSE86618
GSM2307019	26-N702-S503-A10.IPF010	GSE86618
GSM2307020	26-N702-S503-C2.CC002	GSE86618
GSM2307021	27-D8.CC019	GSE86618
GSM2307022	27-N703-S503-B7.IPF010	GSE86618
GSM2307023	27-N703-S503-D3.CC002	GSE86618
GSM2307024	28-E7.CC019	GSE86618
GSM2307025	28-N704-S503-B1.IPF009	GSE86618
GSM2307026	28-N704-S503-C6.IPF010	GSE86618
GSM2307027	28-N704-S503-F4.CC002	GSE86618
GSM2307028	29-B9.CC019	GSE86618
GSM2307029	29-N705-S503-D10.IPF010	GSE86618
GSM2307030	29-N705-S503-G5.CC002	GSE86618
GSM2307031	29-N705-S503-G9.IPF009	GSE86618
GSM2307032	30-B6.CC019	GSE86618
GSM2307033	30-N706-S503-A7.CC002	GSE86618
GSM2307034	30-N706-S503-C12.IPF009	GSE86618
GSM2307035	30-N706-S503-D8.IPF010	GSE86618
GSM2307036	31-D11.CC019	GSE86618
GSM2307037	31-N707-S503-A8.CC002	GSE86618
GSM2307038	31-N707-S503-C6.IPF009	GSE86618
GSM2307039	31-N707-S503-D4.IPF010	GSE86618
GSM2307040	32-C3.CC019	GSE86618
GSM2307041	32-N708-S503-B10.IPF009	GSE86618
GSM2307042	32-N708-S503-B9.CC002	GSE86618
GSM2307043	33-C12.CC019	GSE86618
GSM2307044	33-N709-S503-B3.IPF009	GSE86618
GSM2307045	33-N709-S503-C10.CC002	GSE86618
GSM2307046	34-D9.CC019	GSE86618
GSM2307047	34-N710-S503-C11.CC002	GSE86618
GSM2307048	34-N710-S503-F1.IPF009	GSE86618
GSM2307049	35-N711-S503-C12.CC002	GSE86618
GSM2307050	37-F6.CC019	GSE86618
GSM2307051	37-N701-S504-B5.IPF010	GSE86618
GSM2307052	37-N701-S504-D1.CC002	GSE86618
GSM2307053	37-N701-S504-D12.IPF009	GSE86618
GSM2307054	38-C7.CC019	GSE86618
GSM2307055	38-N702-S504-B2.IPF010	GSE86618
GSM2307056	38-N702-S504-C10.IPF009	GSE86618
GSM2307057	38-N702-S504-D2.CC002	GSE86618
GSM2307058	39-A6.CC019	GSE86618
GSM2307059	39-N703-S504-A6.IPF010	GSE86618
GSM2307060	39-N703-S504-E1.IPF009	GSE86618
GSM2307061	39-N703-S504-E3.CC002	GSE86618
GSM2307062	40-G9.CC019	GSE86618
GSM2307063	40-N704-S504-A2.IPF010	GSE86618
GSM2307064	40-N704-S504-G4.CC002	GSE86618
GSM2307065	40-N704-S504-H2.IPF009	GSE86618
GSM2307066	41-C11.CC019	GSE86618
GSM2307067	41-N705-S504-B6.IPF009	GSE86618
GSM2307068	41-N705-S504-G2.IPF010	GSE86618
GSM2307069	41-N705-S504-H5.CC002	GSE86618
GSM2307070	42-C5.CC019	GSE86618
GSM2307071	42-N706-S504-B1.IPF010	GSE86618
GSM2307072	42-N706-S504-B7.CC002	GSE86618
GSM2307073	42-N706-S504-C9.IPF009	GSE86618
GSM2307074	43-A4.CC019	GSE86618
GSM2307075	43-N707-S504-C8.CC002	GSE86618
GSM2307076	43-N707-S504-D9.IPF009	GSE86618
GSM2307077	44-F8.CC019	GSE86618
GSM2307078	44-N708-S504-D9.CC002	GSE86618
GSM2307079	44-N708-S504-E5.IPF009	GSE86618
GSM2307080	45-F9.CC019	GSE86618
GSM2307081	45-N709-S504-A1.IPF009	GSE86618
GSM2307082	45-N709-S504-D10.CC002	GSE86618
GSM2307083	46-D5.CC019	GSE86618
GSM2307084	46-N710-S504-D11.CC002	GSE86618
GSM2307085	46-N710-S504-H7.IPF009	GSE86618
GSM2307086	47-N711-S504-D12.CC002	GSE86618
GSM2307087	49-F5.CC019	GSE86618
GSM2307088	49-N701-S505-A5.IPF009	GSE86618
GSM2307089	49-N701-S505-E1.CC002	GSE86618
GSM2307090	49-N701-S505-H8.IPF010	GSE86618
GSM2307091	50-H3.CC019	GSE86618
GSM2307092	50-N702-S505-D1.IPF010	GSE86618
GSM2307093	50-N702-S505-E2.CC002	GSE86618
GSM2307094	50-N702-S505-F6.IPF009	GSE86618
GSM2307095	51-C8.CC019	GSE86618
GSM2307096	51-N703-S505-D7.IPF010	GSE86618
GSM2307097	51-N703-S505-F3.CC002	GSE86618
GSM2307098	51-N703-S505-H10.IPF009	GSE86618
GSM2307099	52-E5.CC019	GSE86618
GSM2307100	52-N704-S505-A5.CC002	GSE86618
GSM2307101	52-N704-S505-B12.IPF010	GSE86618
GSM2307102	52-N704-S505-B9.IPF009	GSE86618
GSM2307103	53-D3.CC019	GSE86618
GSM2307104	53-N705-S505-A6.CC002	GSE86618
GSM2307105	53-N705-S505-B4.IPF010	GSE86618
GSM2307106	53-N705-S505-E12.IPF009	GSE86618
GSM2307107	54-F2.CC019	GSE86618
GSM2307108	54-N706-S505-C7.CC002	GSE86618
GSM2307109	54-N706-S505-D7.IPF009	GSE86618
GSM2307110	54-N706-S505-F8.IPF010	GSE86618
GSM2307111	55-B5.CC019	GSE86618
GSM2307112	55-N707-S505-B12.IPF009	GSE86618
GSM2307113	55-N707-S505-D8.CC002	GSE86618
GSM2307114	56-A5.CC019	GSE86618
GSM2307115	56-N708-S505-C3.IPF009	GSE86618
GSM2307116	56-N708-S505-E9.CC002	GSE86618
GSM2307117	57-F10.CC019	GSE86618
GSM2307118	57-N709-S505-D3.IPF009	GSE86618
GSM2307119	57-N709-S505-E10.CC002	GSE86618
GSM2307120	58-A7.CC019	GSE86618
GSM2307121	58-N710-S505-B11.IPF009	GSE86618
GSM2307122	58-N710-S505-E11.CC002	GSE86618
GSM2307123	59-N711-S505-E12.CC002	GSE86618
GSM2307124	61-C9.CC019	GSE86618
GSM2307125	61-N701-S506-D2.IPF010	GSE86618
GSM2307126	61-N701-S506-E7.IPF009	GSE86618
GSM2307127	61-N701-S506-F1.CC002	GSE86618
GSM2307128	62-E1.CC019	GSE86618
GSM2307129	62-N702-S506-C3.IPF010	GSE86618
GSM2307130	62-N702-S506-C5.IPF009	GSE86618
GSM2307131	62-N702-S506-F2.CC002	GSE86618
GSM2307132	63-H8.CC019	GSE86618
GSM2307133	63-N703-S506-A11.IPF009	GSE86618
GSM2307134	63-N703-S506-B3.IPF010	GSE86618
GSM2307135	63-N703-S506-G3.CC002	GSE86618
GSM2307136	64-G4.CC019	GSE86618
GSM2307137	64-N704-S506-A8.IPF009	GSE86618
GSM2307138	64-N704-S506-B10.IPF010	GSE86618
GSM2307139	64-N704-S506-B5.CC002	GSE86618
GSM2307140	65-C2.CC019	GSE86618
GSM2307141	65-N705-S506-B2.IPF009	GSE86618
GSM2307142	65-N705-S506-B6.CC002	GSE86618
GSM2307143	65-N705-S506-C8.IPF010	GSE86618
GSM2307144	66-H10.CC019	GSE86618
GSM2307145	66-N706-S506-A4.IPF010	GSE86618
GSM2307146	66-N706-S506-B4.IPF009	GSE86618
GSM2307147	66-N706-S506-D7.CC002	GSE86618
GSM2307148	67-B12.CC019	GSE86618
GSM2307149	67-N707-S506-E2.IPF009	GSE86618
GSM2307150	67-N707-S506-E8.CC002	GSE86618
GSM2307151	68-E9.CC019	GSE86618
GSM2307152	68-N708-S506-F9.CC002	GSE86618
GSM2307153	68-N708-S506-G7.IPF009	GSE86618
GSM2307154	69-A11.CC019	GSE86618
GSM2307155	69-N709-S506-C8.IPF009	GSE86618
GSM2307156	69-N709-S506-F10.CC002	GSE86618
GSM2307157	70-D10.CC019	GSE86618
GSM2307158	70-N710-S506-F11.CC002	GSE86618
GSM2307159	70-N710-S506-H3.IPF009	GSE86618
GSM2307160	71-N711-S506-F12.CC002	GSE86618
GSM2307161	73-B8.CC019	GSE86618
GSM2307162	73-N701-S507-A2.IPF009	GSE86618
GSM2307163	73-N701-S507-A5.IPF010	GSE86618
GSM2307164	73-N701-S507-G1.CC002	GSE86618
GSM2307165	74-B4.CC019	GSE86618
GSM2307166	74-N702-S507-F11.IPF009	GSE86618
GSM2307167	74-N702-S507-F4.IPF010	GSE86618
GSM2307168	74-N702-S507-G2.CC002	GSE86618
GSM2307169	75-C10.CC019	GSE86618
GSM2307170	75-N703-S507-A4.CC002	GSE86618
GSM2307171	75-N703-S507-D11.IPF009	GSE86618
GSM2307172	75-N703-S507-F7.IPF010	GSE86618
GSM2307173	76-N704-S507-C5.CC002	GSE86618
GSM2307174	76-N704-S507-D9.IPF010	GSE86618
GSM2307175	76-N704-S507-G5.IPF009	GSE86618
GSM2307176	77-E3.CC019	GSE86618
GSM2307177	77-N705-S507-A9.IPF009	GSE86618
GSM2307178	77-N705-S507-C6.CC002	GSE86618
GSM2307179	77-N705-S507-C7.IPF010	GSE86618
GSM2307180	78-B7.CC019	GSE86618
GSM2307181	78-N706-S507-A3.IPF009	GSE86618
GSM2307182	78-N706-S507-E7.CC002	GSE86618
GSM2307183	78-N706-S507-E8.IPF010	GSE86618
GSM2307184	79-A3.CC019	GSE86618
GSM2307185	79-N707-S507-D6.IPF009	GSE86618
GSM2307186	79-N707-S507-F8.CC002	GSE86618
GSM2307187	80-F7.CC019	GSE86618
GSM2307188	80-N708-S507-A6.IPF009	GSE86618
GSM2307189	80-N708-S507-G9.CC002	GSE86618
GSM2307190	81-E4.CC019	GSE86618
GSM2307191	81-N709-S507-E9.IPF009	GSE86618
GSM2307192	81-N709-S507-G10.CC002	GSE86618
GSM2307193	82-D1.CC019	GSE86618
GSM2307194	82-N710-S507-G11.CC002	GSE86618
GSM2307195	82-N710-S507-G8.IPF009	GSE86618
GSM2307196	85-E10.CC019	GSE86618
GSM2307197	85-N701-S508-B8.IPF010	GSE86618
GSM2307198	85-N701-S508-H1.CC002	GSE86618
GSM2307199	86-C1.CC019	GSE86618
GSM2307200	86-N702-S508-A11.IPF010	GSE86618
GSM2307201	86-N702-S508-D2.IPF009	GSE86618
GSM2307202	86-N702-S508-H2.CC002	GSE86618
GSM2307203	87-H6.CC019	GSE86618
GSM2307204	87-N703-S508-B4.CC002	GSE86618
GSM2307205	87-N703-S508-C1.IPF010	GSE86618
GSM2307206	87-N703-S508-D8.IPF009	GSE86618
GSM2307207	88-A2.CC019	GSE86618
GSM2307208	88-N704-S508-A1.IPF010	GSE86618
GSM2307209	88-N704-S508-D5.CC002	GSE86618
GSM2307210	88-N704-S508-F7.IPF009	GSE86618
GSM2307211	89-A12.CC019	GSE86618
GSM2307212	89-N705-S508-A8.IPF010	GSE86618
GSM2307213	89-N705-S508-B8.IPF009	GSE86618
GSM2307214	89-N705-S508-E6.CC002	GSE86618
GSM2307215	90-E8.CC019	GSE86618
GSM2307216	90-N706-S508-F2.IPF009	GSE86618
GSM2307217	90-N706-S508-F7.CC002	GSE86618
GSM2307218	90-N706-S508-G9.IPF010	GSE86618
GSM2307219	91-H9.CC019	GSE86618
GSM2307220	91-N707-S508-D5.IPF009	GSE86618
GSM2307221	91-N707-S508-G8.CC002	GSE86618
GSM2307222	92-D2.CC019	GSE86618
GSM2307223	92-N708-S508-H1.IPF009	GSE86618
GSM2307224	92-N708-S508-H9.CC002	GSE86618
GSM2307225	93-D4.CC019	GSE86618
GSM2307226	93-N709-S508-G1.IPF009	GSE86618
GSM2307227	93-N709-S508-H10.CC002	GSE86618
GSM2307228	94-F3.CC019	GSE86618
GSM2307229	94-N710-S508-F3.IPF009	GSE86618
GSM2307230	94-N710-S508-H11.CC002	GSE86618
GSM2307231	A10-1-C52_S47.IL006	GSE86618
GSM2307232	A10-1-C52_S5.IPF003	GSE86618
GSM2307233	A11-1-C53_S24.IL006	GSE86618
GSM2307234	A11-1-C53_S4.IPF012	GSE86618
GSM2307235	A1-1-C03_S25.IPF003	GSE86618
GSM2307236	A1-1-C03_S6.IL006	GSE86618
GSM2307237	A1-1-C03_S64.IPF012	GSE86618
GSM2307238	A12-1-C54_S48.IPF012	GSE86618
GSM2307239	A12-1-C54_S63.IPF002	GSE86618
GSM2307240	A12-1-C54_S72.IL006	GSE86618
GSM2307241	A3-1-C01_S49.IPF012	GSE86618
